,PLEASANTNESS,EDIBLE ,BAKERY ,SWEET ,FRUIT ,FISH,GARLIC ,SPICES ,COLD,SOUR ,BURNT ,ACID ,WARM ,MUSKY ,SWEATY ,AMMONIA/URINOUS,DECAYED,WOOD ,GRASS ,FLOWER ,CHEMICAL
16741,25.4,4.0636363636363635,1.3636363636363635,1.7545454545454544,0.4636363636363636,3.3363636363636364,3.8,5.5636363636363635,1.6636363636363636,6.3,9.60909090909091,5.1454545454545455,3.6363636363636362,7.463636363636364,4.372727272727273,4.745454545454546,5.036363636363636,3.0454545454545454,1.0636363636363637,0.5545454545454546,8.0
17121,28.363636363636363,2.690909090909091,0.14545454545454545,6.236363636363636,2.1636363636363636,0.5272727272727272,1.690909090909091,2.6818181818181817,3.509090909090909,5.427272727272727,2.563636363636364,2.809090909090909,2.3181818181818183,6.181818181818182,1.4727272727272727,1.5818181818181818,2.2363636363636363,1.3636363636363635,2.672727272727273,1.1727272727272726,5.2
520191,29.099999999999998,2.6818181818181817,0.890909090909091,5.345454545454546,2.3636363636363638,3.8909090909090907,1.7727272727272727,2.4181818181818184,2.0545454545454542,4.718181818181818,3.0636363636363635,5.054545454545455,2.4181818181818184,9.363636363636365,3.3000000000000003,5.381818181818182,5.50909090909091,1.5818181818181818,2.672727272727273,4.954545454545454,10.49090909090909
92979,22.727272727272727,0.7818181818181817,0.07272727272727272,3.609090909090909,0.890909090909091,0.16363636363636364,1.3363636363636364,1.8636363636363635,3.3000000000000003,4.818181818181818,3.1636363636363636,4.845454545454545,1.6636363636363636,5.481818181818182,3.909090909090909,6.263636363636365,2.9909090909090907,2.190909090909091,0.9545454545454546,1.4272727272727272,9.781818181818181
62580,23.69090909090909,0.5454545454545455,0.22727272727272727,5.190909090909091,1.2181818181818183,0.045454545454545456,0.027272727272727275,0.7818181818181817,1.7181818181818183,4.045454545454545,2.1454545454545455,2.463636363636364,0.9181818181818182,3.3545454545454545,3.9363636363636365,1.3454545454545455,1.3909090909090909,1.518181818181818,0.9454545454545455,2.4545454545454546,3.963636363636364
24197,22.1,1.927272727272727,1.2363636363636363,2.2545454545454544,1.7000000000000002,2.2818181818181817,1.5909090909090908,2.536363636363636,3.0727272727272728,4.836363636363637,1.5,2.8636363636363638,2.7363636363636363,4.409090909090909,3.0727272727272728,1.809090909090909,1.2,1.8727272727272728,0.6818181818181818,0.2,3.4000000000000004
7476,56.68181818181818,11.145454545454546,7.1818181818181825,16.57272727272727,4.754545454545454,0.2636363636363636,1.7000000000000002,7.281818181818182,3.127272727272727,2.1,3.2636363636363637,3.172727272727273,5.472727272727273,4.0,0.5181818181818182,2.372727272727273,0.9454545454545455,1.9909090909090907,1.6727272727272726,8.1,9.545454545454547
61252,19.163636363636364,4.054545454545455,2.381818181818182,1.4727272727272727,0.32727272727272727,7.709090909090908,11.59090909090909,6.436363636363636,0.8999999999999999,6.554545454545455,7.263636363636364,1.890909090909091,2.4909090909090907,4.6454545454545455,0.5818181818181818,2.618181818181818,6.3909090909090915,1.2,1.5363636363636364,0.5636363636363636,7.345454545454546
24834,57.20909090909091,9.790909090909091,4.763636363636364,22.272727272727273,7.736363636363637,0.00909090909090909,1.1272727272727272,5.572727272727273,3.6545454545454548,3.0727272727272728,0.45454545454545453,2.0545454545454542,7.154545454545455,3.827272727272727,0.5727272727272728,1.2636363636363637,0.3181818181818182,1.0272727272727271,2.381818181818182,10.081818181818182,4.763636363636364
7500,29.063636363636363,1.8727272727272728,0.7272727272727273,4.1454545454545455,1.2636363636363637,0.00909090909090909,0.1181818181818182,3.036363636363636,2.8000000000000003,3.2636363636363637,3.036363636363636,4.372727272727273,2.0,2.3636363636363638,1.3181818181818181,4.7,2.3,1.6363636363636365,0.4636363636363636,1.690909090909091,20.645454545454545
