,CID,IsomericSMILES,AATSC0i,ATSC3c,NaaS,PEOE_VSA4,FCSP3,C1SP2,EState_VSA4,ATSC7d,NssS,SaaNH,nAHRing,JGI3,nCl,Xch-7dv,AATSC1v,RPCG,SMR_VSA6,SaaO,AATS1m,ATSC5se,JGI8,NdssC,JGI6,nBase,ATSC3m,nFaHRing,n8FHRing,IC2,n9FARing,NdsCH,n8FRing,JGI7,EState_VSA3,PEOE_VSA10,JGI4,C2SP1,ATSC2dv,PEOE_VSA2,n10FAHRing,PEOE_VSA3,ATSC6se,NssNH,n8FARing,SdsN,NdCH2,SsssN,JGI5,EState_VSA6,IC0,BalabanJ,NtN,SlogP_VSA11,PEOE_VSA9,n8FAHRing
0,16741,C1=CC=C(C=C1)CCN=C=S,1.665659181659026,-0.021706776214273117,0,0.0,0.2222222222222222,0,12.965578028838586,0.17500000000000013,0,0.0,0,0.018750000000000003,0,0.022680460581325723,-1.6956517329235907,0.10495109791199146,6.544756405912575,0.0,99.23127869999999,-0.024075597500000066,0.02040816326530612,0,0.012081632653061225,0,8.083347700000147,0,0,3.3037016960573484,0,0,0,0.014467592592592591,0.0,0.0,0.021587301587301586,0,-26.720000000000002,0.0,0,4.992404732635669,-0.014070195,0,0,3.831889644746788,0,0.0,0.015046296296296297,0.0,1.4689955935892813,1.958313149770644,0,0.0,11.706018258038123,0
1,17121,CCCCCC(C=C)OC(=O)C,1.216930916456648,-0.06673947074419759,0,0.0,0.7,2,12.841643245852019,-1.3333333333333348,0,0.0,0,0.05681818181818182,0,0.0,-4.94411564944423,0.2756383453457734,0.0,0.0,67.19077651724137,-0.27372901333333327,0.0,1,0.02040816326530612,0,-95.39507230666668,0,0,3.6565647621309543,0,1,0,0.015625,0.0,6.103966387748303,0.036363636363636376,0,17.057777777777787,4.794537184071822,0,0.0,-0.37120643555555544,0,0,0.0,1,0.0,0.018518518518518517,6.076020106833881,1.2309595631140104,3.3923377756661846,0,0.0,0.0,0
2,520191,CC1=CC(=C(S1)C)C(=O)C,1.5095055604742484,-0.07118326112770668,1,0.0,0.375,0,10.440598685398296,2.25,0,0.0,0,0.10858585858585859,0,0.2390130650329719,1.4634085499727234,0.298315833297736,0.0,0.0,104.66145180000001,-0.3874256699999997,0.0,1,0.0,0,-1331.1978400575003,0,0,2.795461844238322,0,0,0,0.0,0.0,0.0,0.051250000000000004,0,10.162222222222214,4.794537184071822,0,0.0,-0.06918053250000082,0,0,0.0,0,0.0,0.0,18.26052307762536,1.4609640474436811,2.4627989989560555,0,0.0,0.0,0
3,92979,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CCC4=CC(=O)CC[C@]34C,1.3262219185146393,-0.028334353788230675,0,0.0,0.7368421052631579,0,30.5953613843362,3.27599243856333,0,0.0,0,0.058680555555555555,0,0.6135102714621268,4.536859969245596,0.15518649527961934,0.0,0.0,75.11752936734698,0.23549924385633098,0.024891345427059706,2,0.02809390422835801,0,-677.5175519848761,0,0,4.137161140604462,0,3,0,0.014066043083900224,16.6132258851585,0.0,0.061111111111111116,0,-4.3213610586011395,4.794537184071822,0,0.0,-0.09537432892249595,0,0,0.0,0,0.0,0.03260869565217391,0.0,1.1122129250331756,1.6218107692275243,0,0.0,0.0,0
4,62580,CC(C)C(=O)OCC1=CC2=C(C=C1)OCO2,1.3169934922095279,0.23277109035968685,0,0.0,0.4166666666666667,1,11.3129633249809,-0.92,0,0.0,1,0.03159722222222222,0,0.06479922821991074,-2.4667855987499423,0.17052967374194558,6.792942306099827,0.0,95.39639887096776,0.4589983999999998,0.017447719828672208,1,0.01816704459561602,0,-191.30901600000013,0,0,3.8980685120588388,1,0,0,0.020223922902494335,5.749511833283905,6.606881964512918,0.0405952380952381,0,29.306666666666658,4.794537184071822,0,0.0,0.6154623999999997,0,0,0.0,0,0.0,0.028078703703703706,0.0,1.4294732983598406,1.7071605775522762,0,11.49902366656781,5.917906046161393,0
5,24197,CCOC(=O)CC(C(=O)OCC)O,1.1449664389817795,0.09556482288141588,0,0.0,0.75,2,0.0,-1.0068587105624145,0,0.0,0,0.062499999999999986,0,0.0,-5.64171197039016,0.17887677759605577,13.213763929025836,0.0,86.15337169230772,1.3039169602194796,0.012345679012345675,2,0.01749271137026239,0,115.026121680384,0,0,3.5137847242254345,0,0,0,0.00625,0.0,0.0,0.036923076923076927,0,30.444444444444443,4.794537184071822,0,4.794537184071822,-0.020411989026064874,0,0,0.0,0,0.0,0.02222222222222222,13.847474399381248,1.461827895376681,3.6370040002609523,0,0.0,19.634585551951847,0
6,7476,CC(=O)C1=CC=C(C=C1)OC,1.3426112511890915,0.03948237108222627,0,0.0,0.2222222222222222,0,5.749511833283905,-2.5192743764172336,0,0.0,0,0.038461538461538464,0,0.02522911917955175,-2.153155302513955,0.17199480628636651,7.109797541277533,0.0,88.1750388095238,0.1039475918367334,0.0,1,0.0272108843537415,0,-289.4232182040819,0,0,3.5585186130489053,0,0,0,0.0,5.563451491696996,5.749511833283905,0.052777777777777785,0,-8.766439909297052,4.794537184071822,0,0.0,1.1376022857142845,0,0,0.0,0,0.0,0.07465277777777779,38.299003014814595,1.3566695198333112,2.242704555869001,0,5.749511833283905,7.109797541277533,0
7,61252,C1CSCC1=O,1.5987899592389152,0.011731825147990428,0,11.761884949391115,0.75,0,17.92652883641959,0.0,1,0.0,1,0.1111111111111111,0,0.0,2.4606120855015092,0.3162513496814273,11.505707213493578,0.0,122.31201666666665,0.0,0.0,1,0.0,0,-412.9469849305557,0,0,3.084962500721156,0,0,0,0.0,5.783244946364939,5.783244946364939,0.0,0,-2.450617283950617,4.794537184071822,0,0.0,0.0,0,0,0.0,0,0.0,0.0,11.761884949391115,1.6258145836939115,2.184105569636068,0,0.0,5.752853606746789,0
8,24834,CCOC1=CC=C(C=C1)C=O,1.3426112511890913,0.015136741471057428,0,0.0,0.2222222222222222,1,12.03567235641346,-1.9206349206349211,0,0.0,0,0.020833333333333332,0,0.027377737768152464,-2.1531553025139556,0.15627147795916158,6.606881964512918,0.0,88.1750388095238,-0.06569681632653121,0.0,0,0.026938775510204082,0,-26.891058244898066,0,0,3.6897037321995465,0,1,0,0.015625,12.170333456209914,12.03567235641346,0.04777777777777778,0,-3.9092970521541934,4.794537184071822,0,0.0,0.9528804897959173,0,0,0.0,0,0.0,0.04166666666666667,24.26546827384644,1.3566695198333112,2.1364132892501133,0,5.749511833283905,6.606881964512918,0
9,7500,CCC1=CC=CC=C1,1.3498549848022208,-0.009579545681193529,0,0.0,0.25,0,6.4208216229260096,0.5925925925925926,0,0.0,0,0.026785714285714284,0,0.022680460581325723,-2.3187824959920925e-15,0.1406855655660757,0.0,0.0,70.8435471111111,-0.0008783703703704969,0.0,0,0.0,0,-67.25889388888888,0,0,2.8855130303998817,0,0,0,0.0,0.0,0.0,0.05037037037037037,0,-2.629629629629632,0.0,0,0.0,0.01405392592592581,0,0,0.0,0,0.0,0.0625,0.0,0.9910760598382222,2.1250162554146717,0,0.0,0.0,0
